본관	파	이름	파(한자)	이표기	상위	계	파조	파조(한자)	수록 인물수	파조 노드
전주 이씨	완풍군파	완풍군파	完豊君派				완풍군		124001	
전주 이씨	덕천군파	덕천군파	德泉君派				덕천군		68936	wd:Q12592850
전주 이씨	의안대군파	의안대군파	義安大君派				의안대군		63709	wd:Q626461
전주 이씨	임영대군파	임영대군파	臨瀛大君派				임영대군		60138	wd:Q12613893
전주 이씨	무안대군파	무안대군파	撫安大君派				무안대군		53478	wd:Q498707
전주 이씨	경녕군파	경녕군파	敬寧君派				경녕군		45701	wd:Q12583601
전주 이씨	완창대군파	완창대군파	完昌大君派				완창대군		45238	wd:Q497438
전주 이씨	회안대군파	회안대군파	懷安大君派				회안대군		35924	wd:Q488700
전주 이씨	익안대군파	익안대군파	益安大君派				익안대군		34582	wd:Q488670
전주 이씨	여양군파	여양군파	呂陽君派		효령대군파		여양군		29903	
전주 이씨	시중공파	시중공파	侍中公派				시중공		29786	
전주 이씨	안풍대군파	안풍대군파	安豊大君派				안풍대군		28059	wd:Q8512720
전주 이씨	함양군파	함양군파	咸陽君派		양녕대군파		함양군		25959	
전주 이씨	선성군파	선성군파	宣城君派				선성군		24667	wd:Q16172721
전주 이씨	안원대군파	안원대군파	安原大君派				안원대군		24241	wd:Q8512697
전주 이씨	근녕군파	근녕군파	謹寧君派				근녕군		23808	
전주 이씨	함양대군파	함양대군파	咸陽大君派				함양대군		21060	wd:Q8512794
전주 이씨	안천대군파	안천대군파	安川大君派				안천대군		18675	wd:Q8512711
전주 이씨	의평군파	의평군파	義平君派				의평군		18248	wd:Q12610810
전주 이씨	덕원군파	덕원군파	德原君派				덕원군		17883	wd:Q16179557
전주 이씨	담양군파	담양군파	潭陽君派				담양군		16934	
전주 이씨	진안대군파	진안대군파	鎭安大君派				진안대군		16199	wd:Q483467
전주 이씨	성녕대군파	성녕대군파	誠寧大君派				성녕대군		16161	wd:Q12601920
전주 이씨	덕흥대원군파	덕흥대원군파	德興大院君派				덕흥대원군		15474	wd:Q624541
전주 이씨	수도군파	수도군파	守道君派				수도군		14964	wd:Q12603127
전주 이씨	온녕군파	온녕군파	溫寧君派				온녕군		14938	wd:Q12608235
전주 이씨	덕양군파	덕양군파	德陽君派				덕양군		14619	wd:Q12592824
전주 이씨	완원군파	완원군파	完原君派				완원군		14474	wd:Q12608395
전주 이씨	수춘군파	수춘군파	壽春君派				수춘군		14317	
전주 이씨	순성군파	순성군파	順城君派		양녕대군파		순성군		14273	
전주 이씨	밀성군파	밀성군파	密城君派				밀성군		14256	wd:Q12596358
전주 이씨	장양도정파	장양도정파	長陽都正派		효령대군파		장양도정		12785	
전주 이씨	무림군파	무림군파	茂林君派				무림군		12385	
전주 이씨	유성군파	유성군파	儒城君派		효령대군파		유성군		12318	
전주 이씨	영응대군파	영응대군파	永應大君派				영응대군		11587	wd:Q12607473
전주 이씨	익양군파	익양군파	益陽君派				익양군		11575	wd:Q61091886
전주 이씨	영해군파	영해군파	寧海君派				영해군		10945	wd:Q12607566
전주 이씨	춘성정파	춘성정파	春城正派		효령대군파		춘성정		10281	
전주 이씨	임언군파	임언군파	桂城君派				임언군		10051	wd:Q12613890
전주 이씨	안창대군파	안창대군파	安昌大君派				안창대군		9877	wd:Q8512704
전주 이씨	화의군파	화의군파	和義君派				화의군		9284	wd:Q16181541
전주 이씨	고정부정파	고정부정파	古丁副正派		양녕대군파		고정부정		9073	
전주 이씨	안흥대군파	안흥대군파	安興大君派				안흥대군		8834	wd:Q8512727
전주 이씨	석보군파	석보군파	桂城君派				석보군		8770	wd:Q12601583
전주 이씨	익녕군파	익녕군파	益寧君派				익녕군		8214	
