# 한국어 라벨 덮어쓰기 표 — `uv run histgraph relabel` 이 읽는다.
#
# Wikidata 라벨 서비스는 "ko,en" 으로 물어보므로 한국어 라벨이 없는 개체만
# 영어로 들어온다. 그런 노드가 전체 그래프에 1,490개, 조선 그래프에 32개
# 있었다 (2026-09-03 실측). 대부분은 Wikidata 에 한국어 라벨·별칭·한국어
# 위키백과 문서가 아예 없어서 (실측: 1,480개 중 한글 라벨을 새로 얻을 수
# 있는 건 2개뿐) 다시 수집해도 영어 그대로다. 그래서 여기에 손으로 적는다.
#
# 형식: QID <TAB> 한국어 라벨 <TAB> 근거
#   근거 칸에 어디서 나온 이름인지 적는다. 한자(ja=/zh=)가 근거면 그 한자를
#   그대로 옮겼다는 뜻이고, '로마자'면 로마자 표기를 음역했다는 뜻 —
#   후자는 한자 확인 없이 적은 것이니 의심스러우면 이 칸부터 볼 것.
#
# 원칙:
#   · 한국·중국 인물의 한자 이름은 한국 한자음으로 읽는다 (趙秉昌→조병창).
#   · 일본 인물·지명은 일본어 발음을 음역한다 (加藤清忠→가토 기요타다) —
#     이미 그래프에 들어와 있는 '가토 기요마사'와 표기를 맞춘 것.
#   · 근거가 없는 것은 적지 않는다. 로마자만 있고 한자가 없는 현대 인물
#     1,200여 명(대부분 남북한 체육인·관료)은 음절 복원이 갈려서 뺐다.
#     relabel 이 끝나고 '아직 영문인 노드' 수를 찍는 이유가 그것이다.

### 사건 ------------------------------------------------------------
Q108523769	경복궁 점령 사건	ja=朝鮮王宮占領事件 · 1894년 일본군의 경복궁 점령
Q11086182	조일 무역	ja=日朝貿易
Q11510264	신라·일본 관계	ja=日羅関係
Q139892746	평양성 포위전	고구려-당 전쟁의 전투
Q1588702	조선의 류큐 사행	en=Joseon missions to the Ryukyu Kingdom
Q2887845	안북부 전투	1231년 고려-몽골 전쟁
Q5644543	가토 기요마사의 함경도 침공	ja=咸鏡道経略 · zh=加藤清正入侵咸镜道
Q6202487	신라의 진한 병합	ja=新羅の辰韓統一
Q70585589	단종 복위 운동	en=Sayuksin assassination plot · 1456년 사육신 · 이미 있는 ex:event:단종 복위 운동 과 같은 이름으로 맞춰 뒀다
Q85881723	김홍륙 독차 사건	ja=毒茶事件 · 1898년
Q105888744	성 도덕	en=sexual morality
Q108625222	조손 관계	en=grandparent-grandchild relationship
Q112056237	섭식 거부	en=food refusal
Q1239812	필멸성	en=mortality
Q1334052	부모-자녀 관계	en=parent-child relationship
Q1415338	범죄 수사	en=criminal investigation
Q18386464	초자연적 치유	en=supernatural healing
Q1956046	모성	ja=母性
Q20888800	상실	en=loss
Q2910239	상류 사회	ja=上流社会
Q3485507	음식 공포증	en=cibophobia
Q359385	무죄	en=innocence
Q65088305	계급 관계	zh=阶级间关系
Q114717220	2004년 세계경제포럼 연차총회	ja=世界経済フォーラム年次総会2004
Q114717229	2013년 세계경제포럼 연차총회	ja=世界経済フォーラム年次総会2013
Q114717230	2014년 세계경제포럼 연차총회	ja=世界経済フォーラム年次総会2014
Q114717231	2015년 세계경제포럼 연차총회	ja=世界経済フォーラム年次総会2015
Q114717232	2016년 세계경제포럼 연차총회	ja=世界経済フォーラム年次総会2016
Q114717233	2017년 세계경제포럼 연차총회	ja=世界経済フォーラム年次総会2017
Q114717234	2018년 세계경제포럼 연차총회	ja=世界経済フォーラム年次総会2018
Q114717235	2019년 세계경제포럼 연차총회	ja=世界経済フォーラム年次総会2019
Q114717236	2020년 세계경제포럼 연차총회	ja=世界経済フォーラム年次総会2020
Q116672237	2021년 IMF 연차총회	en=IMF 2021 Annual Meetings
Q116790970	2015년 세계정부정상회의	en=World Government Summit 2015
Q11981770	1988년 추기경 회의	en=Consistory - 1988
Q11981775	1985년 추기경 회의	en=Consistory - 1985
Q11981778	2003년 추기경 회의	en=Consistory - 2003
Q16160019	1979년 추기경 회의	en=Consistory - 1979
Q16160036	1983년 추기경 회의	en=Consistory - 1983
Q16160069	1991년 추기경 회의	en=Consistory - 1991
Q16160102	1994년 추기경 회의	en=Consistory - 1994
Q16160119	1998년 추기경 회의	en=Consistory - 1998
Q25419240	2001년 추기경 회의	en=Consistory - 2001
Q65173652	1967년 추기경 회의	en=Consistory - 1967
Q137888482	제2차 바티칸 공의회 제1회기	en=Second Vatican Council: Session One
Q137888514	제2차 바티칸 공의회 제2회기	en=Second Vatican Council: Session Two
Q137892636	제2차 바티칸 공의회 제3회기	en=Second Vatican Council: Session Three
Q137892806	제2차 바티칸 공의회 제4회기	en=Second Vatican Council: Session Four
Q2019678	1823년 콘클라베	zh=1823年教宗選舉秘密會議
Q2209841	1830~1831년 콘클라베	zh=1830年至1831年教宗選舉秘密會議
Q2448354	1829년 콘클라베	zh=1829年教宗選舉秘密會議
Q1428113	1991년 세계 청년 대회	zh=1991年世界青年日
Q2705677	1995년 세계 청년 대회	zh=1995年世界青年日
Q3765905	1985년 세계 청년 대회	en=World Youth Day 1985
Q2099655	교황 요한 바오로 2세의 영국 방문	en=Pope John Paul II's visit to the United Kingdom
Q65175176	요한 바오로 2세의 그리스·시리아·몰타 사목 방문	en=Apostolic Journey of John Paul II to Greece, Syria and Malta
Q86687266	요한 바오로 2세의 보스니아 헤르체고비나 사목 방문	en=Apostolic Journey of John Paul II to Bosnia and Herzegovina
Q9132314	요한 바오로 2세의 제2차 폴란드 사목 방문	en=2nd apostolic journey to Poland of John Paul II
Q9136563	요한 바오로 2세의 이스라엘 방문	en=Pope John Paul II visit in Israel
Q9386425	1982년 요한 바오로 2세 암살 미수 사건	en=Assassination attempt on John Paul II (1982)
Q1233991	도쿠멘타 8	ja=ドクメンタ8
Q265395	도쿠멘타 13	ja=ドクメンタ13
Q3557159	아테네 에피다우로스 페스티벌	ja=アテネ・フェスティバル
Q9383131	제15회 쇼팽 국제 피아노 콩쿠르	ja=第15回ショパン国際ピアノコンクール
Q27962823	1984~1988년 누벨칼레도니 사태	en=Political events from 1984 to 1988 in New Caledonia
Q28104354	프랑스-타히티 전쟁	zh=法國—塔希提戰爭

### 조직·직함 --------------------------------------------------------
Q105847387	산타 마리아 마조레 대성전 수석사제	en=Archpriest of the Basilica di Santa Maria Maggiore
Q1072304	최고투자책임자	ja=最高投資責任者
Q1072363	최고책임자	ja=チーフ・オフィサー
Q10854400	교황 대표	zh=宗座代表 · 외교 신분이 아닌 교황 사절
Q113643217	조선-프랑스 친선협회	fr=Association d'amitié Corée-France · 북한 단체
Q11433206	다이산지	ja=大参事 · 메이지 초기 번(藩)의 직명
Q114371233	부교구장 대주교	en=coadjutor archbishop
Q11578531	유수정부	ja=留守政府 · 1871~73년 일본
Q11604673	세이추구미	ja=精忠組
Q12087706	왕(王)	zh=王 · 중국 작위
