# 그래프에 없는 만든 사람 — `uv run histgraph creators --apply` 가 먼저 세운다
# (`creators` 모듈 머리글 '그래프에 없는 만든 사람').
#
#     인물 id<TAB>이름<TAB>한자<TAB>활동 연대<TAB>신분<TAB>설명<TAB>근거[<TAB>별칭]
#
# 2026-09-23 전수 조사: 만든 사람 엣지가 없던 유물 2,719건 중 설명에 만든 이를
# 적은 것을 읽었다. 화승·조각승·주종장·각수는 거의 다 위키데이터에 항목이 없다.
# 같은 이름은 연대가 이어질 때만 한 사람이다 (법해 1633 조각승 ≠ 1702 화승).
# 설명은 작품과 연대로 우리가 적은 것이다 — 원문을 옮기지 않는다.

kr:person:각경	각경	覺冏	1504	대목	16세기 전반에 활동한 대목. 〈순천 송광사 응진당〉을 만들었다.	국가유산청 설명: 대목(大木) 각경(覺冏) · 상운(尙雲) · 설청(雪靑) · 철선(哲宣) · 경희(敬熙) · 정밀(精密) · 시응(時應)이라 하였다
kr:person:각눌	각눌	覺訥	1381	-	14세기 후반에 〈선종영가집〉을 만들었다.	국가유산청 설명: 고려 우왕 7년(1381)에 충주 청룡사에서 담여(淡如), 각눌(覺訥), 이인린(李仁隣) 등이 판각하여 간행하였음
kr:person:각림	각림	覺林	1688	화승	17세기 후반에 활동한 화승. 〈김천 고방사 아미타여래설법도〉를 그렸다.	국가유산청 설명: 민원(敏圓)을 수화승으로 죽총(竹䕺), 경찬(竟粲), 각림(覺林)이 동참하여 그렸다
kr:person:각민	각민	覺敏	1606	조각승	17세기 전반에 활동한 조각승. 〈공주 동학사 목조석가여래삼불좌상 및 복장유물〉을 만들었다.	국가유산청 설명: 이 불상을 조각한 석준(釋俊), 각민(覺敏) 등은 16세기 후반에서 17세기 전반에 걸쳐 활동한 조각승으로 추정되는데
kr:person:각선	각선	覺禪	1515	선사	16세기 전반에 활동한 선사. 〈천지명양수륙재의찬요 목판〉을 발원하였다.	국가유산청 설명: 1515년(중종 10) 운문사에서 각선(覺禪) 선사의 주도 아래 수많은 이들의 시주를 받아 처호(處浩)의 연판(鍊板)과 최호(崔浩)의 판각(板刻)으로 조성되었는데
kr:person:각심	각심	覺心	1614	조각승	17세기 전반에 활동한 조각승. 〈무안 목우암 목조아미타여래삼존상〉을 만들었다.	국가유산청 설명: 1614년(광해군 6)이라는 제작 연대, 수조각승 각심(覺心) 등의 제작자
kr:person:각연	각연	覺連	1386	-	14세기 후반에 〈감지은니 묘법연화경 권7〉을 만들었다.	국가유산청 설명: 고려 우왕 12년(1386)에 죽산군부인(竹山郡夫人) 김씨 등이 시주하여 각보(覺普)의 주선으로 각연(覺連)이 만들었다는 내용이
kr:person:각온	각온	覺溫	1384	-	14세기 후반에 〈불조삼경〉을 만들었다.	국가유산청 설명: 고려 우왕 10(1384)년에 지봉(志峯)과 지도(志道), 각온(覺溫) 등이 김씨의 시주에 의하여 중간(重刊)하였다
kr:person:각원	각원	覺圓	1311	승려	14세기 전반에 활동한 승려. 〈금강반야바라밀경〉을 만들었고, 〈화성 봉림사 목조아미타불좌상 복장전적 일괄〉을 발원하였다.	국가유산청 설명: 고려 충선왕 3년(1311)에 승려 각원이 여러 비구와 불교신자들과 뜻을 같이하여 목판에 새기고
kr:person:각인	각인	覺仁	1659	-	17세기 후반에 〈기장 장안사 석조석가여래삼불좌상〉을 만들었다.	국가유산청 설명: 대화원 녹원, 편수(片手) 명준(明峻), 학륜(學崙), 각인(覺仁) 등이 불상 제작에 참여하였고
kr:person:각총	각총	覺聰	-	화승	화승. 〈남양주 봉선사 비로자나삼신괘불도〉를 그렸다.	국가유산청 설명: 이 불화는 수화승(首畵僧) 각총(覺聰)이 칠혜(七惠), 두책(斗策), 태운(太雲), 만빈(萬彬)과 함께 조성하였다
