# 산문 추출이 혼인이라 읽은 것을 사람이 가른다 (2026-09-16, Claude 가 근거 문장을 읽고 적었다).
# 묻는 것은 추출이 낸 `spouse_of` 뿐이다 — 위키데이터·인포박스의 배우자 칸은 혼인이라 적힌 자리다.
# 인물 id	인물 id	판정(부부·관련·삭제)	근거
#
# --- 부부 ----------------------------------------------------------------
wd:Q5520922	wd:Q12584475	부부	1907년 12월 삼취(셋째 부인)로 맞았다
wd:Q12585945	wd:Q4798385	부부	은언군의 정실 부인이다
wd:Q433065	wd:Q16171934	부부	최경회의 후처였다
wd:Q7738364	wd:Q16261119	부부	1786년 11월 신오의 딸과 혼례를 치렀다
wd:Q6781634	wd:Q55730720	부부	1707년 2월 김동필의 딸과 가례를 올렸다
wd:Q282172	wd:Q260984	부부	오스기의 아내다
wd:Q486266	wd:Q491778	부부	애첩으로 들여 정경부인에 올린 둘째 부인이다
wd:Q491778	wd:Q486266	부부	윤원형의 애첩이자 둘째 부인이다
wd:Q624754	wd:Q16175377	부부	장덕수의 아내다
wd:Q488115	wd:Q16745758	부부	1749년 7월 정치달과 혼인하였다
#
# --- 관련: 혼인으로 이어진 친족 (사위·장인·처남·형수·사돈·외척) ------------
wd:Q484806	wd:Q6642702	관련	효혜공주의 남편 김희가 김안로의 아들이니 며느리다
wd:Q6408890	wd:Q626748	관련	정창손은 김질의 장인이다
wd:Q6673632	wd:Q7214169	관련	여흥부대부인의 친동생이다
wd:Q6673632	wd:Q464503	관련	명성황후의 친척 오라버니다
wd:Q6673632	wd:Q469432	관련	흥선대원군의 처남이다
wd:Q6673632	wd:Q257425	관련	고종의 외삼촌이다
wd:Q16094929	wd:Q489527	관련	양기탁에게 손녀 사위가 된다
wd:Q497092	wd:Q12596262	관련	민유중을 사위로 삼았다
wd:Q379659	ex:person:조정견	관련	원균의 셋째 서녀가 조정견의 측실이 되었다
wd:Q486558	wd:Q12611200	관련	이덕형은 이산해의 사위다
wd:Q16261930	ex:person:윤여해	관련	윤여해는 이세좌의 사위다
wd:Q16261930	wd:Q486311	관련	이수형은 이세좌의 아들이다
wd:Q16261930	wd:Q130539717	관련	이세걸은 이세좌와 같은 항렬의 형제로 갑자사화에 함께 벌을 받았다
wd:Q6515066	ex:person:허유례	관련	허유례는 이시애의 처조카다
wd:Q494787	wd:Q625753	관련	김홍집의 사위다
wd:Q334308	wd:Q624747	관련	현덕왕후는 세조의 형수다
wd:Q334308	wd:Q484792	관련	한확과 사돈지간이었다
wd:Q459964	wd:Q626310	관련	김조순은 순조의 장인이다
wd:Q485009	wd:Q484267	관련	혜경궁 홍씨는 영조의 며느리다
wd:Q492998	wd:Q6653890	관련	홍봉한은 사도세자의 장인이다
wd:Q16176142	wd:Q12608920	관련	허성의 이복 누나가 우성전에게 출가하였다
#
# --- 관련: 혼인이 아닌 관계 (벗·동지·추천·국문·피살) ----------------------
wd:Q626310	wd:Q27952493	관련	둘도 없는 절친이자 천생오태사로 불린 동지였다
wd:Q433065	wd:Q5370916	관련	촉석루 연회에 잠입해 그를 끌어안고 남강에 투신하였다
wd:Q12596260	wd:Q12606214	관련	1921년 2월 도쿄 제국 호텔에서 양근환에게 피살되었다
wd:Q12611049	wd:Q16261986	관련	이장곤이 이극균의 추천을 받은 일로 국문되었다
wd:Q16261930	wd:Q27952909	관련	김응기가 이세좌를 방문한 죄로 국문되었다
wd:Q469396	wd:Q469423	관련	벗이었으나 역성혁명을 두고 뜻이 갈렸다
wd:Q486283	wd:Q484610	관련	경빈 박씨의 궁인을 통해 조광조를 모함하는 말이 궁중에 퍼졌다
wd:Q482850	wd:Q624353	관련	철종이 후사 없이 죽자 신정왕후가 대신들과 후계자를 정했다
#
# --- 삭제: 엣지 자체가 거짓 -----------------------------------------------
wd:Q625537	ex:person:홍씨	삭제	민태호의 첩을 어머니라 불렀다는 문장에서 성씨 한 자를 사람으로 세운 줄이다

# =========================================================================
# 파생본(korea.sqlite)에는 없고 원본(histgraph.sqlite)에만 있는 후보 67건.
# `scope` 가 화면 묶음 밖으로 뺀 노드들이라 화면에는 안 서지만, 관문은 원본도 잰다.
#
# --- 부부 ----------------------------------------------------------------
wd:Q5520922	ex:person:김말순	부부	1904년 9월 계배로 맞았다가 1907년 6월 헤어졌다
wd:Q5520922	ex:person:정치순	부부	1891년 6월에 맞은 초배로 1904년 4월에 헤어졌다
ex:person:김감	ex:person:채씨	부부	채씨는 김감의 아내다
wd:Q6677192	ex:person:여흥 윤씨	부부	1523년 14세에 윤임형의 딸에게 장가들었다
