# 임기 표 — `uv run histgraph terms` 가 읽는다.
#
# 대통령의 띠는 **취임한 날**에서 시작한다 (2026-09-09 사용자 결정:
# "대통령 타임라인을 대통령 취임날을 기준으로 만들어줘"). Wikidata 의
# P39 한정어(P580)는 취임일이 아닌 것이 섞여 있다 — 권한대행을 맡은 날
# (박정희 1962-03-24 · 최규하 1979-10-26)이거나 통일주체국민회의가 뽑은 날
# (전두환 1980-08-27)이다. 그 날들은 대통령이 된 날이 아니다.
#
# 한 사람이 여러 대를 지내도 띠는 하나다. 시작은 **첫 취임일**, 끝은
# 마지막 임기가 끝난 날이다 (이승만 1·2·3대, 박정희 5~9대, 전두환 11·12대).
#
# 근거는 대통령기록관(pa.go.kr)의 취임식 기록이다. 거기 없는 것만 다른
# 자료를 적는다. 표에 없는 대통령이 남으면 `terms` 가 종료 코드 1 로 묻는다
# — 새 대통령이 들어오면 여기 한 줄을 적어야 한다.
#
# 인물 id<TAB>자리 id<TAB>취임일<TAB>퇴임일<TAB>근거
#
# 퇴임일이 비면 '아직 재임 중'이다.
#
# **임금도 한 줄 적을 수 있다** (2026-09-11). 재위는 왕 문서의 인포박스에서
# 오는데(`infobox.reign_spans`), 그 칸이 시작을 '?' 로 적어 둔 임금이 있다.
# 그러면 띠가 서지 않으므로 정본에서 찾아 여기 적는다. 관문이 묻는 것은
# 대통령뿐이다 (`terms.GUARDED`) — 임금은 위키 값이 대개 맞다.

wd:Q171684	wd:Q6296418	1948-07-24	1960-04-27	대통령기록관 초대 취임식 (1948-07-24 중앙청 광장). 4·19 로 1960-04-27 사임
wd:Q192049	wd:Q6296418	1960-08-13	1962-03-22	대통령기록관 제4대 취임식 (1960-08-13 국회의사당). 1962-03-22 사임
wd:Q14356	wd:Q6296418	1963-12-17	1979-10-26	대통령기록관 제5대 취임식 (1963-12-17 중앙청 광장). 그 앞 1962-03-24~1963-12-16 은 권한대행이다
wd:Q313350	wd:Q6296418	1979-12-21	1980-08-16	대통령기록관 제10대 취임식 (1979-12-21 장충체육관). 그 앞 1979-10-26~12-06 은 권한대행이다
wd:Q14362	wd:Q6296418	1980-09-01	1988-02-24	대통령기록관 제11대 취임식 (1980-09-01 잠실실내체육관). 1980-08-27 은 통일주체국민회의가 뽑은 날이다
wd:Q242651	wd:Q6296418	1988-02-25	1993-02-24	대통령기록관 제13대 취임식 (1988-02-25 국회의사당 앞 광장)
wd:Q165210	wd:Q6296418	1993-02-25	1998-02-24	대통령기록관 제14대 취임식 (1993-02-25 국회의사당 앞 광장)
wd:Q45785	wd:Q6296418	1998-02-25	2003-02-24	대통령기록관 제15대 취임식 (1998-02-25 국회의사당 앞 광장)
wd:Q14345	wd:Q6296418	2003-02-25	2008-02-24	대통령기록관 제16대 취임식 (2003-02-25 국회의사당 앞 광장)
wd:Q14342	wd:Q6296418	2008-02-25	2013-02-24	대통령기록관 제17대 취임식 (2008-02-25 국회의사당 앞 광장)
wd:Q138048	wd:Q6296418	2013-02-25	2017-03-10	대통령기록관 제18대 취임식 (2013-02-25 국회의사당 앞 광장). 2017-03-10 파면
wd:Q21001	wd:Q6296418	2017-05-10	2022-05-09	대통령기록관 제19대 취임선서 (2017-05-10 국회의사당 로텐더홀)
wd:Q16090635	wd:Q6296418	2022-05-10	2025-04-04	대통령기록관 제20대 취임식 (2022-05-10 국회의사당 앞 광장). 2025-04-04 파면
wd:Q12612463	wd:Q6296418	2025-06-04		제21대 취임 2025-06-04 (대통령기록관에 아직 취임식 기록이 없어 위키백과로 적는다)

wd:Q494532	ex:role:신라 왕	0661-06	0681-07	《삼국사기》 신라본기 — 태종무열왕 8년(661) 6월 즉위, 문무왕 21년(681) 7월 1일 승하. 위키백과 인포박스의 재위 칸은 시작을 '?' 로 적어 두었다. 음력이라 달까지만 적는다
