# related_to 갈라 내기 — 직접 판정 (2026-09-05, Claude). 근거 문장만 보고 골랐다.
# src	dst	type	direction	confidence	메모 (A ~ B · 근거 앞머리)
ex:org:원산노동연합회	wd:Q623533	none	A→B	certain	원산노동연합회 ~ 신간회
ex:person:윤지경	wd:Q490348	participated_in	A→B	probable	윤지경 ~ 정묘호란 · 보덕 윤지경(尹知敬)이 임진강을 죽을 각오로 지키겠다고 하고 피난하지 말고 사력을 다해 도성을 지켜야 한다고
ex:person:이화일	wd:Q12600153	participated_in	A→B	certain	이화일 ~ 삼둔자 전투 · 독립군 연합부대 사령부는 1개 소대를 삼둔자 서남쪽 봉화리(烽火里)에 매복시키고, 이화일(李化日) 소대장이 
nikh:kc_i301710	wd:Q17	none	A→B	certain	기유약조 ~ 일본
nikh:kc_i301710	wd:Q205662	none	A→B	certain	기유약조 ~ 에도 막부
wd:Q11265994	ex:org:외솔회	none	A→B	certain	이상재 ~ 외솔회
wd:Q11265994	wd:Q16171569	none	A→B	certain	이상재 ~ 서재필
wd:Q11265994	wd:Q171684	taught	A→B	probable	이상재 ~ 이승만 · 그는 후일 대한민국의 대통령을 역임한 이승만의 정치적 스승 중의 한사람이었다.
wd:Q11265994	wd:Q192111	none	A→B	certain	이상재 ~ 윤치호
wd:Q11265994	wd:Q7781655	none	A→B	certain	이상재 ~ 박정양
wd:Q123701540	ex:person:윤성시	none	A→B	certain	김일경 ~ 윤성시
wd:Q123701540	wd:Q112027811	none	A→B	certain	김일경 ~ 이진유
wd:Q123701540	wd:Q12595426	none	A→B	certain	김일경 ~ 목호룡
wd:Q123701540	wd:Q16184234	none	A→B	certain	김일경 ~ 조태구
wd:Q123701540	wd:Q484995	taught	A→B	certain	김일경 ~ 조선 경종 · 1687년 사마양시에 합격한 뒤 1699년과 1702년 그리고 1707년에 세 번 과거에 급제하고 정언(正言
wd:Q123701540	wd:Q485009	none	A→B	certain	김일경 ~ 조선 영조
wd:Q123701540	wd:Q497077	none	A→B	certain	김일경 ~ 김집
wd:Q123701540	wd:Q497127	none	A→B	certain	김일경 ~ 김장생
wd:Q12582796	wd:Q31179932	none	A→B	certain	강동진 ~ 원산 총파업
wd:Q12584053	wd:Q12588965	none	A→B	certain	고경명 ~ 김천일
wd:Q12584053	wd:Q12602921	none	A→B	certain	고경명 ~ 송순
wd:Q12584053	wd:Q12617154	none	A→B	certain	고경명 ~ 조헌
wd:Q12584053	wd:Q16171934	none	A→B	certain	고경명 ~ 최경회
wd:Q12584053	wd:Q6748069	none	A→B	certain	고경명 ~ 백인걸
wd:Q12586747	wd:Q188712	participated_in	B→A	certain	기유각서 ~ 일본 제국 · 〈대한제국 사법 및 감옥사무 위탁에 관한 각서〉(大韓帝國司法및監獄事務委託에關한覺書) 통칭 기유각서(己酉覺書)
wd:Q12586747	wd:Q486062	participated_in	B→A	certain	기유각서 ~ 소네 아라스케 · 이 조약은 대한제국의 내각총리대신인 친일파 이완용과 일본의 제2대 한국 통감으로 발령받았던 소네 아라스케 사
wd:Q12586875	ex:person:송희옥	none	A→B	certain	김개남 ~ 송희옥
wd:Q12586875	ex:person:조시영	none	A→B	certain	김개남 ~ 조시영
wd:Q12586875	ex:person:황헌주	none	A→B	certain	김개남 ~ 황헌주
wd:Q12586875	wd:Q110115390	none	A→B	certain	김개남 ~ 손화중
wd:Q12586875	wd:Q112020784	none	A→B	certain	김개남 ~ 호영
wd:Q12586875	wd:Q11274270	none	A→B	certain	김개남 ~ 최시형
wd:Q12586875	wd:Q114037932	none	A→B	certain	김개남 ~ 김환
wd:Q12586875	wd:Q12601432	none	A→B	certain	김개남 ~ 서장옥
wd:Q12586875	wd:Q12613828	none	A→B	certain	김개남 ~ 임병찬
wd:Q12586875	wd:Q16183565	none	A→B	certain	김개남 ~ 임병욱
wd:Q12586875	wd:Q16631060	none	A→B	certain	김개남 ~ 이건영
wd:Q12586875	wd:Q39963	none	A→B	certain	김개남 ~ 박경리
wd:Q12586875	wd:Q469432	none	A→B	certain	김개남 ~ 흥선대원군
wd:Q12586875	wd:Q483541	none	A→B	certain	김개남 ~ 김기범
wd:Q12586875	wd:Q486273	none	A→B	certain	김개남 ~ 이준용
wd:Q12586875	wd:Q489758	none	A→B	certain	김개남 ~ 전봉준
wd:Q12586875	wd:Q624523	none	A→B	certain	김개남 ~ 박동진
wd:Q12589000	wd:Q2945181	member_of	A→B	certain	김춘택 ~ 노론 · 이 과정 중, 피의자들이 효종의 딸이자 숙종에겐 고모가 되는 숙안공주·숙명공주·숙휘공주가 노론의 대표인 김춘
wd:Q12590382	wd:Q334308	none	A→B	certain	노사신 ~ 조선 세조
wd:Q12595343	wd:Q12589996	member_of	A→B	certain	목내선 ~ 남인 · 이 기사환국으로 영의정 권대운, 좌의정 목내선, 우의정 민암, 이조판서 이현일, 호조판서 오시복, 예조판서 
wd:Q12603383	wd:Q2945181	none	A→B	certain	숙안공주 ~ 노론
wd:Q12603397	wd:Q2945181	none	A→B	certain	숙휘공주 ~ 노론
wd:Q12604086	wd:Q490348	none	A→B	certain	신경진 ~ 정묘호란
wd:Q12604333	wd:Q12587347	none	A→B	certain	신석린 ~ 김명준 (1870년)
wd:Q12606285	wd:Q109547418	none	A→B	certain	양성지 ~ 기곡제
wd:Q12611648	wd:Q388037	participated_in	A→B	probable	이상설 ~ 만국평화회의 · 이준은 고종의 신임장을 들고 만주의 이상설, 러시아의 이위종과 차례로 합류하여 헤이그로 향했다.
wd:Q12611695	wd:Q490348	none	A→B	certain	이서 ~ 정묘호란
wd:Q12612320	nikh:kc_o403300	member_of	A→B	certain	이윤재 ~ 조선어학회 · 장지영, 이윤재, 최현배 등이 중심이 되어 활동했으며, 1932년에 학회지 ‘한글’ 창간하고 한글맞춤법 통일
wd:Q12613430	wd:Q484044	none	A→B	certain	인조반정 ~ 인목왕후
wd:Q12613430	wd:Q624010	none	A→B	certain	인조반정 ~ 정인홍
wd:Q12614706	nikh:kc_o403300	member_of	A→B	certain	장지영 ~ 조선어학회 · 장지영, 이윤재, 최현배 등이 중심이 되어 활동했으며, 1932년에 학회지 ‘한글’ 창간하고 한글맞춤법 통일
wd:Q12616107	nikh:kc_o403300	member_of	A→B	certain	정태진 ~ 조선어학회 · 김학준은 영생고등여학교의 공민 선생으로 재직 중이었고, 정태진은 1941년 5월에 7년간 재직하던 영생고등여
wd:Q12624078	wd:Q12587347	none	A→B	certain	한상룡 ~ 김명준 (1870년)
wd:Q142	wd:Q12586787	none	A→B	certain	프랑스 ~ 기해박해
wd:Q14356	wd:Q233254	none	A→B	certain	박정희 ~ 을사조약
wd:Q16083384	wd:Q14356	none	A→B	certain	서중석 ~ 박정희
wd:Q16083384	wd:Q483128	none	A→B	certain	서중석 ~ 장도영
wd:Q16167522	wd:Q12589996	member_of	A→B	certain	권대운 ~ 남인 · 이 기사환국으로 영의정 권대운, 좌의정 목내선, 우의정 민암, 이조판서 이현일, 호조판서 오시복, 예조판서 
